monkey,rt,coh,correct,trgchoice
1,0.355,0.512,1.0,2.0
1,0.359,0.256,1.0,1.0
1,0.525,0.128,1.0,1.0
1,0.332,0.512,1.0,1.0
1,0.302,0.032,0.0,2.0
1,0.449,0.0,1.0,1.0
1,0.34,0.256,1.0,2.0
1,0.555,0.032,0.0,1.0
1,0.664,0.128,1.0,2.0
1,0.595,0.064,1.0,1.0
1,0.698,0.064,0.0,1.0
1,0.865,0.0,1.0,2.0
1,0.874,0.128,0.0,1.0
1,0.513,0.256,1.0,2.0
1,0.644,0.064,1.0,1.0
1,0.519,0.128,1.0,1.0
1,0.354,0.256,1.0,1.0
1,0.568,0.512,1.0,2.0
1,0.686,0.0,0.0,1.0
1,0.399,0.512,1.0,1.0
1,0.447,0.032,1.0,2.0
1,0.629,0.064,0.0,1.0
1,0.864,0.032,1.0,1.0
1,0.619,0.0,1.0,1.0
1,0.429,0.128,1.0,1.0
1,1.001,0.128,1.0,2.0
1,0.433,0.256,1.0,2.0
1,0.592,0.064,0.0,1.0
1,0.838,0.0,1.0,1.0
1,0.66,0.256,1.0,1.0
1,0.805,0.064,1.0,1.0
1,0.434,0.512,1.0,1.0
1,0.68,0.032,1.0,1.0
1,0.676,0.512,1.0,2.0
1,0.779,0.0,0.0,1.0
1,0.647,0.032,0.0,1.0
1,0.712,0.064,0.0,1.0
1,0.552,0.032,0.0,1.0
1,0.441,0.256,1.0,1.0
1,0.461,0.512,1.0,1.0
1,0.964,0.0,1.0,1.0
1,0.357,0.512,1.0,2.0
1,0.621,0.128,1.0,1.0
1,0.5,0.0,0.0,1.0
1,0.596,0.256,1.0,2.0
1,0.584,0.128,1.0,2.0
1,0.696,0.064,1.0,1.0
1,0.67,0.032,1.0,1.0
1,0.62,0.064,1.0,1.0
1,0.334,0.512,1.0,2.0
1,0.501,0.256,1.0,1.0
1,0.723,0.128,0.0,1.0
1,0.811,0.032,1.0,1.0
1,0.433,0.512,1.0,1.0
1,0.451,0.032,1.0,2.0
1,0.664,0.128,1.0,1.0
1,0.371,0.256,1.0,2.0
1,0.633,0.0,0.0,2.0
1,0.724,0.064,0.0,1.0
1,0.395,0.032,1.0,2.0
1,0.493,0.0,0.0,1.0
1,0.448,0.512,1.0,2.0
1,0.835,0.0,0.0,2.0
1,0.584,0.032,1.0,1.0
1,0.646,0.064,1.0,1.0
1,0.397,0.512,1.0,1.0
1,0.674,0.256,1.0,1.0
1,0.396,0.256,1.0,2.0
1,0.541,0.128,1.0,1.0
1,0.576,0.064,1.0,2.0
1,0.574,0.128,0.0,1.0
1,0.599,0.256,1.0,2.0
1,0.58,0.512,1.0,2.0
1,0.577,0.032,1.0,1.0
1,0.67,0.128,1.0,1.0
1,0.732,0.128,1.0,2.0
1,0.411,0.256,1.0,1.0
1,0.559,0.0,1.0,2.0
1,0.705,0.0,1.0,1.0
1,0.666,0.032,0.0,1.0
1,0.69,0.064,0.0,1.0
1,0.396,0.512,1.0,1.0
1,1.044,0.064,0.0,2.0
1,0.78,0.032,0.0,2.0
1,1.019,0.0,0.0,2.0
1,0.505,0.512,1.0,1.0
1,0.596,0.128,1.0,1.0
1,0.703,0.0,1.0,2.0
1,0.658,0.032,0.0,1.0
1,0.451,0.256,1.0,2.0
1,0.499,0.128,1.0,2.0
1,0.501,0.512,1.0,2.0
1,0.835,0.064,0.0,2.0
1,0.557,0.256,1.0,1.0
1,0.774,0.064,0.0,1.0
1,0.593,0.128,1.0,2.0
1,0.685,0.128,1.0,1.0
1,0.539,0.512,1.0,1.0
1,0.46,0.512,1.0,2.0
1,0.64,0.256,1.0,1.0
1,0.959,0.032,1.0,2.0
1,0.765,0.0,1.0,2.0
1,0.932,0.0,0.0,2.0
1,0.724,0.064,1.0,2.0
1,0.573,0.256,1.0,2.0
1,0.657,0.064,1.0,1.0
1,0.852,0.032,1.0,1.0
1,0.651,0.032,0.0,2.0
1,0.634,0.0,0.0,1.0
1,0.664,0.064,1.0,2.0
1,0.427,0.512,1.0,2.0
1,0.444,0.0,0.0,2.0
1,0.478,0.256,1.0,1.0
1,0.62,0.032,0.0,1.0
1,0.501,0.512,1.0,1.0
1,0.596,0.256,1.0,2.0
1,0.66,0.128,1.0,1.0
1,0.742,0.064,1.0,1.0
1,0.712,0.128,1.0,2.0
1,0.725,0.032,0.0,1.0
1,0.61,0.128,1.0,1.0
1,0.882,0.032,1.0,1.0
1,0.379,0.512,1.0,2.0
1,0.966,0.064,1.0,2.0
1,0.613,0.0,0.0,1.0
1,0.651,0.064,1.0,1.0
1,0.512,0.256,1.0,2.0
1,0.397,0.256,1.0,1.0
1,0.992,0.0,0.0,2.0
1,0.365,0.512,1.0,1.0
1,0.447,0.128,1.0,2.0
1,0.576,0.0,1.0,2.0
1,0.584,0.256,1.0,2.0
1,0.665,0.256,1.0,1.0
1,0.422,0.032,0.0,2.0
1,0.379,0.512,1.0,1.0
1,0.403,0.512,1.0,2.0
1,0.812,0.128,1.0,1.0
1,0.797,0.032,1.0,2.0
1,0.731,0.0,0.0,2.0
1,0.699,0.064,0.0,2.0
1,0.472,0.064,1.0,2.0
1,0.688,0.128,1.0,2.0
1,0.706,0.064,1.0,1.0
1,0.725,0.128,1.0,1.0
1,0.645,0.256,1.0,1.0
1,0.404,0.256,1.0,2.0
1,0.462,0.512,1.0,2.0
1,0.747,0.0,1.0,1.0
1,0.751,0.0,0.0,1.0
1,0.793,0.032,0.0,1.0
1,0.691,0.032,1.0,1.0
1,0.629,0.064,0.0,1.0
1,0.415,0.512,1.0,1.0
1,0.53,0.128,1.0,2.0
1,0.58,0.256,1.0,1.0
1,0.664,0.256,1.0,2.0
